Age,Gender,Education Level,Job Title,Years of Experience,Salary
30,Female,PhD,Logistics Coordinator,9,94500
41,Male,High School,Scrum Master,14,113000
34,Male,PhD,Senior Financial Analyst,12,175500
25,Male,Bachelor's,Financial Analyst,5,81500
24,Male,Bachelor's,Junior Developer,2,47500
27,Female,Bachelor's,Civil Engineer,5,92500
22,Male,Bachelor's,CTO,0,256000
27,Female,Master's,CFO,4,286500
23,Male,PhD,Civil Engineer,2,121500
26,Female,Bachelor's,Data Analyst,1,68000
22,Female,Bachelor's,Data Engineer,0,93500
27,Male,Master's,Project Manager,3,97000
25,Male,Master's,UI Designer,0,98000
22,Male,Master's,HR Specialist,0,63500
25,Male,Master's,Senior Data Analyst,2,110500
30,Male,Master's,Accountant,7,94500
36,Male,Master's,Operations Manager,10,147000
27,Male,Bachelor's,Logistics Coordinator,3,56500
38,Male,Bachelor's,CEO,16,391000
22,Male,Bachelor's,Research Scientist,0,101500
31,Female,Master's,Senior Software Engineer,7,180000
27,Female,PhD,Biomedical Engineer,5,136500
29,Male,Bachelor's,Manager,11,113500
25,Male,Bachelor's,Operations Manager,2,99000
26,Female,Master's,Account Executive,3,80500
24,Male,Bachelor's,Director of Engineering,0,187500
38,Male,Bachelor's,COO,16,333000
27,Female,PhD,Biomedical Engineer,1,129500
29,Male,Master's,Junior Developer,3,74500
34,Male,High School,Frontend Developer,12,87500
31,Male,Bachelor's,Brand Manager,7,103000
23,Female,Master's,Scrum Master,1,122000
25,Female,Bachelor's,Project Manager,2,94500
25,Female,Master's,Intern,5,53500
37,Female,PhD,Chemical Engineer,16,194000
39,Male,Master's,HR Specialist,15,101500
25,Female,High School,Accountant,1,52500
34,Female,Bachelor's,HR Specialist,7,70500
30,Male,Bachelor's,Product Manager,8,129500
38,Female,Master's,Business Analyst,13,136000
27,Male,Bachelor's,Backend Developer,2,89500
27,Male,Master's,Digital Marketing Specialist,4,93000
26,Female,Master's,Machine Learning Engineer,2,144000
44,Female,PhD,Senior Product Manager,21,356500
26,Male,PhD,UI Designer,3,122500
26,Female,Master's,Financial Analyst,2,83000
29,Female,Master's,Sales Representative,5,65500
29,Male,Bachelor's,Senior Financial Analyst,5,116000
28,Male,Master's,Business Development Manager,3,118500
42,Female,Master's,HR Specialist,17,131500
32,Female,Master's,Mechanical Engineer,8,125500
23,Male,Bachelor's,Investment Banker,0,130500
25,Female,Bachelor's,Senior Accountant,2,86000
27,Female,Master's,CEO,3,337500
34,Female,Bachelor's,CFO,6,314000
45,Female,Master's,Director,26,342500
26,Female,Bachelor's,Senior Product Manager,4,184500
29,Female,Bachelor's,Senior Manager,2,121000
45,Male,Bachelor's,UX Designer,21,158500
27,Male,Bachelor's,Senior Financial Analyst,1,93500
23,Male,Bachelor's,Manager,0,90500
27,Female,Bachelor's,Marketing Manager,4,83000
30,Female,Master's,Investment Banker,7,185000
35,Male,Bachelor's,Senior Manager,13,165000
25,Female,Master's,Accountant,0,71500
35,Female,Bachelor's,Accountant,7,64500
45,Female,Bachelor's,Operations Manager,22,161500
22,Male,Master's,Data Engineer,0,131500
30,Female,Master's,Senior Data Scientist,6,200500
26,Male,Bachelor's,Financial Analyst,1,77500
25,Male,Bachelor's,Director of Engineering,3,191000
29,Male,Bachelor's,Account Executive,7,92000
24,Male,Bachelor's,Sales Manager,4,96500
45,Male,High School,Scrum Master,22,136000
26,Female,Master's,Content Strategist,4,83500
28,Male,Master's,Machine Learning Engineer,5,162000
65,Female,PhD,CFO,38,744000
36,Female,Master's,Civil Engineer,12,131000
23,Male,Bachelor's,Electrical Engineer,3,98000
38,Female,Master's,Data Engineer,14,182000
27,Female,Bachelor's,Mechanical Engineer,8,102500
22,Male,Bachelor's,Logistics Coordinator,2,54000
34,Female,Bachelor's,VP of Engineering,9,273000
23,Male,Master's,Logistics Coordinator,1,52500
24,Female,Bachelor's,Senior Accountant,4,95000
42,Female,PhD,Product Manager,17,219000
23,Female,Bachelor's,Manager,1,91500
45,Male,PhD,Investment Banker,22,297500
22,Female,Bachelor's,Accountant,1,69000
26,Female,Bachelor's,Intern,3,37000
33,Male,Bachelor's,Senior Product Manager,11,207500
45,Male,Master's,Electrical Engineer,20,195000
40,Female,PhD,Senior Software Engineer,14,233500
30,Male,Bachelor's,Account Executive,6,84000
24,Male,Master's,Digital Marketing Specialist,4,74500
38,Male,Master's,Chemical Engineer,11,142000
22,Female,Master's,Operations Manager,1,109000
27,Male,Master's,CTO,1,324500
34,Male,Bachelor's,Content Strategist,7,78000
31,Female,Master's,Junior Developer,5,73000
25,Male,Bachelor's,Manager,0,87500
22,Male,Bachelor's,Senior Software Engineer,1,137000
29,Male,PhD,Digital Marketing Specialist,2,84000
36,Female,Master's,Intern,13,69000
46,Female,Bachelor's,Intern,27,73500
